,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,1.5617682341474373,1.4954949748232083,1.538632951254074,1.561933889997185,1.5150518045449188,1.4662931623325335,1.526777606020128,1.548246157370361
Precision std,0.4997765240642157,0.5000149665872655,0.5020659936280533,0.5036295104925931,0.5112755807820419,0.5028526889647682,0.5030241766968666,0.5090601053575268
Precision median,1.9974668628182262,0.9984776322873814,1.9974668625086234,1.9974668609575956,1.9974668625788987,0.9974669268583848,1.9974668627518577,1.9974668627998482
Best precision,0.9665555368816368,0.9912193072703215,0.9966893894428137,0.9965366239718775,0.9974592679722384,0.9972633171890861,0.9974156264484769,0.9949349247727051
Mean iterations per experiment,4999.1328125,5000.0,5000.0,5000.0,5000.0,5000.0,4999.3125,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.009482849000628627,0.00971860867122753,0.00974848501961257,0.009911850688071995,0.009809587686108354,0.00977803097939349,0.009860575725373945,0.010000787650279699
Mean experiment CPU time,47.43089328070118,48.61807932766018,48.76765665859571,49.584392283187505,49.07381415435937,48.91748610516787,49.323858114072294,50.03226451794337
Experiments,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
No. clans,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Particles per clan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
