,Simple AClanPSO,EIS-L2-k0.2C AClanPSO,EIS-L2-k1C AClanPSO,EIS-L2-k2C AClanPSO,EIS-L2-k0.2L AClanPSO,EIS-L2-k1L AClanPSO,EIS-L2-k0.2A AClanPSO,EIS-L2-k1A AClanPSO
Precision mean,2.5137564234307055,2.235729508092156,1.9248395818305444,1.6981780495411978,2.3316246738710555,1.8283301414348654,2.6486122034943724,2.2584161159654537
Precision std,0.6388881672195287,0.5944598008092072,0.5198340013554351,0.42294489550667413,0.6159775956641875,0.5546353502007518,0.711208965720072,0.6726261621630839
Precision median,2.4371894553818008,2.224795137849161,1.9899172711336974,1.7233189124711452,2.224795164315556,1.9899172720097378,2.635582247408098,2.2248880730505762
Best precision,1.3963858702683447,0.9949586372981286,1.0592821477475718e-08,0.9949586348153788,0.994958670422004,1.0739426800322395e-08,1.4058509274143343,0.004357400248107915
Mean iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Maximum iterations per experiment,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Mean iteration CPU time,0.012589111328125,0.01303759765625,0.013119287109375,0.013072802734375,0.013010693359375,0.0130349609375,0.012894775390625,0.01280888671875
Mean experiment CPU time,62.96923828125,65.212646484375,65.6181640625,65.387939453125,65.080078125,65.199462890625,64.501708984375,64.07080078125
Experiments,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
No. clans,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Particles per clan,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
